name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'03a05Wa';0.000000;3.625443e-002;-5.614674e+000;1.433030e+001;-1.266174e-002;1.766840e-002;1.466698e-003;1.564053e+000;9.459679e+000;1.573728e+001;-2.548010e+000;0;0;0;0;0;0;6.841243e+002;1.341678e+003;-201;1.567782e+003;-201;2.561446e+003;-201
'03a05Wa';0.010000;3.464939e-002;-8.819731e+000;1.902643e+001;-1.913369e-002;2.120819e-002;2.109937e-003;2.197034e+000;1.117418e+001;1.420804e+001;-7.872428e-001;0;0;0;0;0;0;5.704496e+002;1.436082e+003;-201;1.432028e+003;-201;2.431915e+003;-201
'03a05Wa';0.020000;3.683970e-002;-9.642779e+000;2.056001e+001;-2.272060e-002;2.362967e-002;3.029741e-003;4.698800e-001;1.303115e+001;1.334824e+001;8.031619e-001;0;0;0;0;0;0;4.617560e+002;1.441462e+003;-201;1.333223e+003;-201;2.375316e+003;-201
'03a05Wa';0.030000;4.999363e-002;-3.704094e+000;1.387960e+001;-1.872622e-002;2.652684e-002;3.858759e-003;-4.761475e+000;1.034266e+001;1.321207e+001;2.555832e+000;0;0;0;0;0;0;6.226648e+002;1.414448e+003;-201;1.501054e+003;-201;2.471134e+003;-201
'03a05Wa';0.040000;5.105340e-002;-3.160590e+000;1.430414e+001;-1.401196e-002;2.414890e-002;6.120956e-003;-3.331786e+000;8.882445e+000;7.926514e+000;2.565234e+000;0;0;0;0;0;0;6.528237e+002;1.390025e+003;-201;1.458172e+003;-201;2.446668e+003;-201
'03a05Wa';0.050000;4.987192e-002;-6.197202e+000;1.977901e+001;-2.093177e-002;2.378443e-002;7.187676e-003;1.399300e+000;5.202311e+000;1.525890e+000;2.413351e+000;0;0;0;0;0;0;6.661592e+002;1.270428e+003;-201;1.465784e+003;-201;2.396665e+003;-201
'03a05Wa';0.060000;3.684916e-002;-1.279364e+001;2.783848e+001;-3.177953e-002;2.972084e-002;5.899085e-003;9.661252e+000;1.426683e+000;-1.939558e+000;7.407388e+000;0;0;0;0;0;0;5.410668e+002;1.285881e+003;-201;1.269257e+003;-201;2.224794e+003;-201
'03a05Wa';0.070000;4.968880e-002;-9.526462e+000;2.307754e+001;-3.265352e-002;3.061228e-002;5.307721e-003;3.816198e+000;3.570750e+000;2.590788e+000;3.086799e+000;0;0;0;0;0;0;6.207972e+002;1.096564e+003;-201;1.563268e+003;-201;2.429493e+003;-201
'03a05Wa';0.080000;7.487685e-002;-2.735046e+000;1.385990e+001;-2.219164e-002;2.924179e-002;6.375868e-003;-3.461919e+000;6.253824e+000;7.125219e+000;-3.423217e-001;0;0;0;0;0;0;6.451793e+002;1.143189e+003;-1.308554e+002;1.613081e+003;-1.339112e+002;2.510254e+003;-1.367681e+002
'03a05Wa';0.090000;1.941742e-001;-1.869910e+000;1.028241e+001;1.102715e-002;8.813077e-003;6.763823e-002;-1.207612e+000;1.047775e+001;1.005478e+001;-3.065909e+000;2.944974e+001;0;0;-2.163558e+000;-7.744992e-001;1.041239e+001;5.863912e+002;1.177005e+003;-6.247379e+001;1.664256e+003;-6.522399e+001;2.600304e+003;-7.135960e+001
'03a05Wa';0.100000;5.164910e-001;-4.011732e+000;1.209412e+001;3.517807e-002;-8.904981e-003;3.763540e-001;1.269163e+001;1.412125e+000;8.901905e+000;8.099026e-001;2.945122e+001;0;0;-1.210077e+000;-1.482590e-001;8.755475e+000;4.832139e+002;1.372436e+003;5.082877e+000;1.528867e+003;4.443696e+000;2.599323e+003;-5.248744e+000
'03a05Wa';0.110000;1.011540e+000;-7.341530e+000;1.617172e+001;5.656757e-002;-2.504192e-002;7.457365e-001;2.625564e+001;-1.078864e+001;7.477188e+000;1.934605e-001;2.946231e+001;0;6.020600e+000;5.708938e-001;1.440670e+000;2.480985e+000;4.285606e+002;1.493099e+003;1.094629e+000;1.539655e+003;6.889812e+000;2.342978e+003;5.431414e-002
'03a05Wa';0.120000;1.499686e+000;-4.803637e+000;1.644753e+001;5.279045e-002;-1.979882e-002;1.102373e+000;3.002098e+001;-2.470757e+001;3.305391e+000;-3.337781e+000;2.948938e+001;0;4.533267e+000;2.177932e+000;4.000591e+000;8.883722e-001;4.359369e+002;1.626079e+003;-3.060902e+000;1.552992e+003;7.324677e+000;2.349323e+003;5.131690e-002
'03a05Wa';0.130000;1.769831e+000;-1.382710e+000;1.389091e+001;4.836192e-002;-9.098272e-003;1.086600e+000;2.653889e+001;-3.077424e+001;3.572828e-001;-3.710811e+000;2.951948e+001;3.681656e-002;3.357942e+000;2.429480e+000;6.545629e+000;3.870215e-001;4.178127e+002;1.557859e+003;-7.650284e+000;1.497166e+003;5.506603e+000;2.222466e+003;-1.491676e+000
'03a05Wa';0.140000;1.801247e+000;1.250189e+000;1.252254e+001;3.976939e-002;3.260100e-003;8.971419e-001;2.272762e+001;-3.003482e+001;-4.570762e+000;1.864025e+000;2.953684e+001;3.681656e-002;2.026613e+000;2.385859e+000;8.041003e+000;3.870928e+000;5.072674e+002;1.602612e+003;-7.380664e+001;1.487674e+003;-6.402831e+001;2.465230e+003;-7.102659e+001
'03a05Wa';0.150000;1.554165e+000;1.045411e+000;1.179969e+001;3.297005e-002;1.199438e-003;8.069506e-001;1.976745e+001;-2.209254e+001;-8.997493e+000;5.109701e+000;0;0;0;0;0;0;5.156635e+002;1.505785e+003;-1.380327e+002;1.414507e+003;-1.331504e+002;2.279759e+003;-1.364321e+002
'03a05Wa';0.160000;1.247085e+000;-2.315847e-001;1.221444e+001;2.527448e-002;-1.841824e-004;6.396070e-001;1.681326e+001;-1.375935e+001;-9.380102e+000;7.672110e+000;0;0;0;0;0;0;5.760218e+002;1.551836e+003;-201;1.461276e+003;-201;2.330289e+003;-201
'03a05Wa';0.170000;9.783415e-001;-1.312465e+000;1.061395e+001;1.068001e-002;-4.424185e-003;5.422391e-001;1.569912e+001;-9.078431e+000;-4.652699e+000;1.088000e+001;0;0;0;0;0;0;4.980396e+002;1.396125e+003;-201;1.408913e+003;-201;2.224432e+003;-201
'03a05Wa';0.180000;8.121594e-001;-2.178608e-001;8.191730e+000;-2.018792e-003;2.269625e-003;3.155469e-001;1.196001e+001;-8.052882e+000;1.432663e+000;1.570201e+001;0;0;0;0;0;0;6.614069e+002;1.353858e+003;-201;1.570012e+003;-201;2.441750e+003;-201
'03a05Wa';0.190000;7.121543e-001;2.100500e+000;4.952109e+000;-2.260616e-002;7.848073e-003;2.426473e-001;2.755906e+000;-6.002532e+000;1.614751e+000;1.714840e+001;0;0;0;0;0;0;6.345237e+002;1.204654e+003;-201;1.506288e+003;-201;2.355095e+003;-201
'03a05Wa';0.200000;5.991564e-001;4.811445e+000;1.725011e+000;-2.300050e-002;1.483167e-002;1.987147e-001;-8.573940e+000;-5.450870e+000;-4.054180e+000;1.063739e+001;0;0;0;0;0;0;7.669844e+002;1.236996e+003;-201;1.640230e+003;-201;2.504062e+003;-201
'03a05Wa';0.210000;5.643464e-001;8.106360e+000;-9.633568e-001;-3.561947e-003;1.351274e-002;1.273249e-001;-1.784712e+001;-4.529113e+000;-1.125508e+001;2.771883e+000;0;0;0;0;0;0;7.830256e+002;1.252971e+003;-201;1.644699e+003;-201;2.519079e+003;-201
'03a05Wa';0.220000;5.874345e-001;1.143991e+001;-4.653791e+000;2.823459e-002;1.462539e-002;1.201545e-001;-2.258298e+001;-4.589268e+000;-1.762617e+001;-4.250145e+000;0;0;0;0;0;0;9.306745e+002;1.229639e+003;-201;1.812131e+003;-201;2.659513e+003;-201
'03a05Wa';0.230000;6.916760e-001;1.639487e+001;-9.151731e+000;4.272124e-002;1.975928e-002;1.796246e-001;-2.679971e+001;1.133161e-001;-1.623213e+001;-6.020401e+000;0;0;0;0;0;0;9.499510e+002;1.178636e+003;-201;1.846735e+003;-1.303344e+002;2.686245e+003;-1.292359e+002
'03a05Wa';0.240000;8.297818e-001;1.990187e+001;-1.420427e+001;3.564074e-002;2.147628e-002;2.568446e-001;-2.976576e+001;1.671134e+000;-1.031709e+001;-1.065220e+001;5.994144e+001;3.369224e-002;1.869916e+000;-9.242159e+000;-5.065083e+000;-5.065083e+000;9.541870e+002;1.096328e+003;0;1.868680e+003;-5.912659e+001;2.699220e+003;-5.574987e+001
'03a05Wa';0.250000;1.004113e+000;2.406029e+001;-1.547398e+001;2.724626e-002;2.150726e-002;3.374369e-001;-3.328984e+001;-8.936246e-001;-1.797319e+000;-1.192655e+001;5.821205e+001;4.968671e-002;2.523195e+000;-8.276364e+000;-8.371192e+000;-1.081643e+001;9.819814e+002;1.022479e+003;0;1.896404e+003;1.038871e+001;2.713725e+003;1.621067e+001
'03a05Wa';0.260000;1.168157e+000;2.575025e+001;-1.588421e+001;4.205040e-002;1.755215e-002;4.052260e-001;-3.628128e+001;-5.063098e+000;7.117001e-002;-1.699463e+001;5.648179e+001;4.156207e-002;2.339976e+000;-8.165483e+000;-1.160494e+001;-1.405018e+001;1.057897e+003;9.682744e+002;0;1.976584e+003;1.021837e+001;2.610398e+003;1.494186e+001
'03a05Wa';0.270000;1.294237e+000;2.674715e+001;-1.472391e+001;5.623206e-002;1.689019e-002;4.695689e-001;-3.927876e+001;-8.022077e+000;-1.205842e+000;-1.885351e+001;5.474216e+001;5.212499e-002;2.769569e+000;-6.498428e+000;-1.399002e+001;-1.765788e+001;1.074502e+003;8.479145e+002;-1.017554e+002;2.044124e+003;-6.098944e+001;2.638845e+003;-5.854421e+001
