name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'03a05Wa';0.000000;2.948483e+001;1.141311e-003;2.945122e+001;2.947585e+001;2.951948e+001;6.826210e-002;1.451683e-002;0;0;0;6.258476e-001;1.025312e+000;4.712088e-002;3.553326e-001;1.297605e+000;1.250484e+000;1.260709e+001;0;-2.178186e+001;0;3.432096e-001;1.139733e+000;9.578772e+000;1.137071e+000;-3.702872e+000;-3.783375e+000;3.963869e+000;1.852029e+000;3.220965e+000;1.791796e+000;3.681656e-002;0;3.984606e+000;3.695413e-001;6.984216e-001;2.606408e+000;3.184189e+000;1.036614e+000;4.465862e+000;8.550683e-001;4.451396e+002;6.566328e-002;1.473368e+003;8.853062e-002;-1.410851e+002;-5.765519e-001;1.513470e+003;1.973327e-002;1.146682e+003;9.308700e-002;-1.392075e+002;-6.040226e-001;2.413990e+003;5.146028e-002;1.517573e+003;2.854841e-001;-1.417111e+002;-5.703592e-001;-3.144341e+000;-8.112183e-001;1.338783e+001;1.848984e-001;4.344681e-002;2.548088e-001;-9.946658e-003;-9.992659e-001;7.467158e-001;5.202087e-001;2.040724e+001;4.743811e-001;-1.473639e+001;-1.073682e+000;4.870776e+000;8.988870e-001;-1.147103e+000;-1.528657e+000;-4.643992e+000;1.571097e+001;-1.170871e-002;1.702739e-002;1.959332e-001;5;5.000000e+000;5.000000e-002;0;6.000000e-002;2.000000e-002;-2.486642e+001
'03a05Wa';0.100000;4.187074e+001;3.319784e-001;2.947855e+001;2.953684e+001;5.717390e+001;2.769534e+001;6.098045e+002;0;-1.733095e+002;0;1.062088e+000;3.688597e-001;6.731721e-001;1.007827e+000;1.365064e+000;6.918922e-001;2.046194e+001;8.242723e+000;1.767002e+001;0;4.886424e-001;6.016660e-001;-5.317716e+000;-4.781185e+000;-1.012065e+001;-9.364163e-001;-3.609942e+000;-1.904198e+000;-2.106982e+000;-5.335425e+000;4.178319e-002;1.647346e-001;3.180135e+000;4.201807e-001;-2.869816e+000;-1.670426e+000;-2.127955e+000;-3.540933e+000;-3.467421e+000;-2.436525e+000;6.959758e+002;4.209634e-001;1.292778e+003;2.060454e-001;-1.330568e+002;-6.202059e-001;1.706925e+003;1.281669e-001;1.362764e+003;2.715842e-001;-1.070681e+002;-8.284684e-001;2.506269e+003;6.505496e-002;1.347284e+003;3.168566e-001;-1.082488e+002;-8.087723e-001;9.183237e+000;1.555958e+000;9.128117e-001;1.635798e+001;4.268568e-002;2.461105e-001;2.138891e-003;8.242567e+000;6.538370e-001;5.018612e-001;-2.153951e+000;-1.376305e+001;-1.206213e+001;-1.076972e+000;1.360556e+000;3.016561e+000;-7.252487e+000;-9.546283e-001;7.972916e+000;1.310603e+000;1.817952e-002;9.053440e-003;3.614708e-001;5;1.000000e+001;3.500000e-002;5.000000e-003;8.000000e-002;0;-2.362159e+001
'03a05Wa';0.200000;4.198180e+001;3.288127e-001;2.955951e+001;3.023072e+001;5.717390e+001;2.761438e+001;0;0;-3.414326e+000;0;8.738804e-001;4.063407e-001;5.828168e-001;8.339506e-001;1.194110e+000;6.112927e-001;2.610681e+001;1.198805e+001;1.291347e+001;0;3.641482e-001;7.274063e-001;-1.539180e+001;-1.471210e+000;-2.440126e+000;-4.300738e+000;-2.729709e+000;-3.126451e+000;-7.551028e+000;-1.584229e+000;3.919388e-002;3.072092e-001;2.696358e+000;3.128098e-001;-4.614614e+000;-7.664067e-001;-1.170764e+000;-6.908684e+000;2.645189e-001;4.347949e+001;8.780963e+002;2.504332e-001;1.123345e+003;1.135534e-001;-1.314644e+002;-6.400875e-001;1.800259e+003;1.612511e-001;1.587202e+003;2.912868e-001;-1.087208e+002;-8.072861e-001;2.617853e+003;7.074464e-002;8.863455e+002;1.192331e-001;-1.097836e+002;-7.847395e-001;5.293962e+000;3.438625e+000;5.605929e+000;3.467647e+000;2.206411e-002;1.102509e+000;3.362613e-003;5.263295e+000;4.647745e-001;7.418407e-001;-3.938648e+000;-7.084323e+000;4.047231e+000;3.046394e+000;-1.597901e+000;-5.157922e+000;-8.171299e+000;-1.657452e+000;1.523531e+001;-5.321339e+000;2.378651e-002;2.068917e-002;2.772903e-001;5;1.000000e+001;3.500000e-002;5.000000e-003;4.500000e-002;1.500000e-002;-2.521552e+001
'03a05Wa';0.300000;2.949763e+001;1.507103e-002;2.909129e+001;2.934241e+001;2.991598e+001;8.246918e-001;0;0;-1.810139e-001;0;9.004202e-001;4.903224e-001;4.652433e-001;8.766787e-001;1.293890e+000;8.286467e-001;3.387254e+001;0;-7.756834e-001;1.088545e+001;5.094972e-001;6.856332e-001;2.605447e+000;7.373414e+000;-5.123982e+000;-2.354671e+000;-1.249733e+000;-1.435244e+001;-4.366683e+000;-3.297627e+000;2.170936e-002;9.672403e-002;3.221100e+000;3.070965e-001;-1.052213e+000;-2.154494e+000;5.567800e+000;2.536454e-001;9.476742e+000;2.672515e-001;6.679343e+002;3.753783e-001;1.256859e+003;7.600699e-002;-1.304086e+002;-6.625279e-001;1.588479e+003;2.064902e-001;1.459317e+003;3.042368e-001;-1.293139e+002;-6.819754e-001;2.541612e+003;8.645795e-002;1.011236e+003;3.232570e-001;-1.335322e+002;-6.202984e-001;-7.546998e+000;-9.167127e-001;2.062147e+001;2.602885e-001;1.371498e-002;1.656608e+000;-7.491187e-003;-1.529550e+000;7.090269e-001;6.583594e-001;2.135887e+001;1.749603e-001;1.308120e+000;1.339000e+001;-6.172647e+000;-1.908781e+000;-8.985372e+000;-1.860240e+000;9.326015e+000;4.620283e+000;9.537924e-003;2.638499e-002;4.059173e-001;5;5.000000e+000;6.000000e-002;0;5.500000e-002;1.500000e-002;-2.314246e+001
'03a05Wa';0.400000;3.456567e+001;1.139624e-001;2.906098e+001;3.702405e+001;3.762505e+001;8.564062e+000;4.317657e+002;0;-3.215141e+001;0;8.429787e-001;5.321253e-001;3.773433e-001;8.579789e-001;1.269758e+000;8.924148e-001;1.286108e+001;0;1.518531e+001;0;4.137420e-001;8.446323e-001;-6.085264e+000;-2.894078e+000;-4.728907e+000;-2.007183e+000;-1.166296e+000;-1.610327e+001;9.507097e-001;1.279976e+001;3.420586e-002;3.264897e-001;3.489343e+000;2.836348e-001;3.745441e+000;5.431477e-001;1.199703e+001;4.262592e-001;1.890583e+001;4.123932e-001;8.135340e+002;3.589490e-001;1.212134e+003;1.501384e-001;-1.435007e+002;-5.464310e-001;1.743235e+003;1.665515e-001;1.205405e+003;9.667095e-002;-1.423929e+002;-5.571001e-001;2.638269e+003;6.720225e-002;1.092734e+003;2.856506e-001;-1.455488e+002;-5.152215e-001;2.231568e+000;3.486338e+000;6.519001e+000;1.493372e+000;3.278566e-002;4.959457e-001;2.082611e-003;4.861824e+000;7.020829e-001;5.237318e-001;-1.463865e-001;-1.377311e+002;9.749534e-001;1.500791e+001;-5.421692e+000;-1.779283e+000;-8.248518e+000;-1.419214e+000;8.073170e+000;4.118529e+000;8.964787e-003;2.777841e-002;2.943287e-001;0;5.000000e+000;3.000000e-002;0;1.300000e-001;0;-2.401361e+001
'03a05Wa';0.500000;3.686696e+001;2.028337e-002;3.609555e+001;3.702405e+001;3.762505e+001;1.529491e+000;0;0;-3.265871e-001;0;6.405321e-001;8.025832e-001;1.071140e-001;5.831442e-001;1.167146e+000;1.060032e+000;1.299548e+001;0;-1.924118e+001;0;3.984974e-001;1.064198e+000;4.377295e+000;5.856235e+000;4.037654e+000;3.051088e+000;6.003295e+000;1.644709e+000;5.284230e+000;1.689588e+000;4.240660e-002;8.259673e-002;2.696330e+000;4.605298e-001;4.248046e+000;3.213876e-001;1.313960e+001;2.769790e-001;2.344195e+001;9.155124e-002;8.707864e+002;2.504407e-001;1.256229e+003;1.780391e-001;-1.428368e+002;-5.557455e-001;1.814799e+003;1.070122e-001;1.182864e+003;1.092626e-001;-1.449192e+002;-5.246935e-001;2.657077e+003;5.716455e-002;9.059082e+002;1.061143e-001;-1.463296e+002;-5.054581e-001;-1.431369e+000;-7.206679e+000;8.078841e+000;1.400883e+000;5.935949e-002;5.621132e-001;-3.625883e-003;-3.868164e+000;6.553662e-001;4.795466e-001;-1.371734e-001;-1.472321e+002;3.987685e+000;2.658257e+000;1.382639e+000;3.153658e+000;-4.442173e+000;-1.523277e+000;-6.072267e+000;1.664637e+001;1.268321e-002;1.357590e-002;2.856903e-001;5;5.000000e+000;5.000000e-002;0;6.000000e-002;1.000000e-002;-2.367841e+001
'03a05Wa';0.600000;3.133502e+001;7.469821e-002;2.972151e+001;3.042202e+001;3.193447e+001;2.212967e+000;0;0;-6.562895e-001;0;6.733210e-001;8.330370e-001;7.058626e-002;5.859351e-001;1.354924e+000;1.284338e+000;1.628535e+001;0;1.599438e+001;0;4.851963e-001;8.679171e-001;2.243100e+001;4.124224e-001;5.173897e+000;2.456357e+000;1.768099e+001;7.056805e-001;3.149920e+000;3.974210e+000;3.646125e-002;1.525792e-001;3.369792e+000;5.809561e-001;2.609317e+000;9.965392e-001;3.553768e+000;1.486028e+000;1.340092e+001;4.911715e-001;5.954967e+002;3.074382e-001;1.404707e+003;1.488672e-001;-1.074788e+002;-8.403978e-001;1.608487e+003;5.831561e-002;1.030412e+003;1.355483e-001;-1.047008e+002;-8.433644e-001;2.590163e+003;2.893111e-002;9.321591e+002;1.176297e-001;-1.053626e+002;-8.315095e-001;-9.664207e+000;-2.566273e-001;1.568598e+001;2.073132e-001;4.508318e-002;9.779688e-001;-9.923209e-003;-1.645805e+000;6.038835e-001;5.369155e-001;1.925894e+001;2.702814e-001;-2.195630e+000;-4.303683e+000;2.482645e+001;6.014538e-001;-2.893738e+000;-4.977606e+000;-1.885515e+001;3.153263e+001;4.249120e-003;4.457054e-003;3.618999e-001;0;5.000000e+000;7.000000e-002;0;9.000000e-002;0;-2.282944e+001
'03a05Wa';0.700000;3.002592e+001;1.753885e-002;2.958300e+001;2.975613e+001;3.056058e+001;9.775734e-001;6.128025e+000;0;1.823065e+001;0;7.224577e-001;7.484534e-001;1.541228e-001;6.648424e-001;1.275313e+000;1.121190e+000;1.758204e+001;0;-1.619147e+001;0;3.970935e-001;8.150892e-001;1.757954e+001;3.071976e-001;-3.035399e+000;-4.543897e+000;1.359801e+001;1.150417e+000;-2.687811e+000;-4.129284e+000;2.943468e-002;3.208819e-001;3.217614e+000;5.989588e-001;2.143916e+000;1.248224e+000;2.749544e+000;1.651667e+000;9.878448e+000;5.432945e-001;6.234666e+002;2.919897e-001;1.431198e+003;1.473521e-001;-9.712508e+001;-9.316106e-001;1.606855e+003;5.557794e-002;1.030218e+003;1.285129e-001;-9.331281e+001;-9.567237e-001;2.615250e+003;1.668577e-002;8.771182e+002;1.527133e-001;-9.507577e+001;-9.214830e-001;-7.089161e+000;-5.888768e-001;1.461382e+001;1.698585e-001;3.795045e-002;8.973544e-001;-6.492844e-003;-2.408132e+000;5.813125e-001;5.010272e-001;2.016162e+001;2.753199e-001;-7.787357e+000;-1.902138e+000;2.039111e+001;9.329755e-001;-4.355945e+000;-3.346785e+000;-9.453276e+000;1.876160e+001;1.253618e-005;6.865555e-003;1.758359e-001;5;5.000000e+000;9.999999e-002;0;6.000000e-002;0;-2.488869e+001
'03a05Wa';0.800000;3.039005e+001;4.386120e-002;2.953912e+001;2.964801e+001;3.183674e+001;2.297628e+000;8.187103e+001;0;-1.197717e+002;0;5.907462e-001;9.749723e-001;3.379674e-002;3.623548e-001;1.238474e+000;1.204677e+000;2.609307e+001;0;1.251724e+001;0;3.300183e-001;1.005297e+000;1.844761e+001;3.293533e-001;-8.137917e-001;-1.912161e+001;3.349089e+000;2.804939e+000;-3.385014e+000;-2.825364e+000;2.594442e-002;3.013080e-001;2.546928e+000;4.778008e-001;6.352556e-001;2.785013e+000;2.417551e+000;7.351565e-001;1.046043e+001;5.395388e-001;7.989303e+002;2.831289e-001;1.598294e+003;5.197117e-002;-1.311798e+002;-5.681885e-001;1.576169e+003;6.968036e-002;1.220084e+003;1.175898e-001;-1.316549e+002;-5.648584e-001;2.580718e+003;7.742924e-002;9.863550e+002;4.644725e-001;-1.352953e+002;-5.192139e-001;-5.973005e+000;-1.042146e+000;1.827940e+001;2.716379e-001;1.781469e-002;2.429602e+000;2.456279e-003;3.297390e+000;5.540836e-001;6.982194e-001;1.962908e+001;3.581015e-001;-1.182595e+001;-1.460425e+000;2.175210e-001;5.183762e+001;-5.482997e+000;-2.158150e+000;-1.324342e+001;2.384913e+001;-8.248999e-003;3.885675e-003;2.145747e-001;0;1.000000e+001;2.000000e-002;0;9.999999e-002;0;-2.569561e+001
'03a05Wa';0.900000;2.973544e+001;6.205329e-002;2.806522e+001;2.838843e+001;3.183674e+001;3.771524e+000;0;0;-5.815797e-001;0;5.946847e-001;1.029519e+000;3.094152e-002;3.046330e-001;1.287198e+000;1.256256e+000;1.652586e+001;0;-1.842471e+001;0;3.939263e-001;9.909245e-001;2.260029e+001;3.417323e-001;1.154700e+000;1.316108e+001;9.129735e-001;1.129519e+001;-1.465394e+000;-6.938458e+000;3.830570e-002;1.405978e-001;2.684070e+000;4.163413e-001;-2.138906e-001;-8.577759e+000;1.451276e+000;4.290454e-001;1.119173e+001;4.670798e-001;6.949951e+002;4.208709e-001;1.728664e+003;9.483446e-002;-1.309727e+002;-5.697668e-001;1.510698e+003;9.022434e-002;1.300772e+003;5.452270e-002;-1.313641e+002;-5.679786e-001;2.462325e+003;9.829193e-002;1.256419e+003;3.929687e-001;-1.349161e+002;-5.247687e-001;-5.532411e+000;-1.183523e+000;1.841755e+001;2.521573e-001;1.408090e-002;2.840092e+000;3.940179e-003;1.458654e+000;6.649408e-001;6.794996e-001;2.144799e+001;3.965922e-001;-1.068995e+001;-1.519765e+000;-3.183509e+000;-4.188773e+000;-5.725099e+000;-2.046308e+000;-1.708723e+001;2.977572e+001;-1.972047e-002;4.000428e-003;2.594874e-001;5;1.000000e+001;2.500000e-002;5.000000e-003;4.500000e-002;1.500000e-002;-2.418681e+001
